"rowname","site","state","year","date","delph.plant.num","delph.flower.num","viable","bombus.abund","bombus.rich","bomabund.scale","num.delph","prop.delph","prop.long","num.long","mean.fidelity","color.sim","corolla.sim","species.removed","num.removed","prop.removed"
"43","Brush Creek Fork","manipulation","2011",2011-07-20,"58","58.58",0,37,6,0.482484117303879,9455,0.566608737340445,0.918918918918919,34,0.739130434782609,0.000553097345132743,0.889795353982301,"Bombus appositus",139,0.789772727272727
"44","Brush Creek Fork","manipulation","2011",2011-07-20,"59","59.59",0,37,6,0.482484117303879,9455,0.566608737340445,0.918918918918919,34,0.739130434782609,0.000553097345132743,0.889795353982301,"Bombus appositus",139,0.789772727272727
"45","Brush Creek Fork","manipulation","2011",2011-07-20,"60","60.60",0,37,6,0.482484117303879,9455,0.566608737340445,0.918918918918919,34,0.739130434782609,0.000553097345132743,0.889795353982301,"Bombus appositus",139,0.789772727272727
"46","Deer Creek Gate 2","control","2011",2011-07-25,"2","2.2",14,42,5,0.553437663966214,3221,0.139015968925334,0.761904761904762,32,0.9,0,0.851070229084165,NA,0,0
"47","Deer Creek Gate 2","control","2011",2011-07-25,"2","2.2",0,42,5,0.553437663966214,3221,0.139015968925334,0.761904761904762,32,0.9,0,0.851070229084165,NA,0,0
"48","Deer Creek Gate 2","control","2011",2011-07-25,"3","3.3",0,42,5,0.553437663966214,3221,0.139015968925334,0.761904761904762,32,0.9,0,0.851070229084165,NA,0,0
"49","Deer Creek Gate 2","control","2011",2011-07-25,"4","4.4",45,42,5,0.553437663966214,3221,0.139015968925334,0.761904761904762,32,0.9,0,0.851070229084165,NA,0,0
"50","Deer Creek Gate 2","control","2011",2011-07-25,"5","5.5",16,42,5,0.553437663966214,3221,0.139015968925334,0.761904761904762,32,0.9,0,0.851070229084165,NA,0,0
"51","Deer Creek Gate 2","control","2011",2011-07-25,"5","5.5",0,42,5,0.553437663966214,3221,0.139015968925334,0.761904761904762,32,0.9,0,0.851070229084165,NA,0,0
"52","Deer Creek Gate 2","control","2011",2011-07-25,"7","7.7",12,42,5,0.553437663966214,3221,0.139015968925334,0.761904761904762,32,0.9,0,0.851070229084165,NA,0,0
"53","Deer Creek Gate 2","control","2011",2011-07-25,"7","7.7",0,42,5,0.553437663966214,3221,0.139015968925334,0.761904761904762,32,0.9,0,0.851070229084165,NA,0,0
"54","Deer Creek Gate 2","control","2011",2011-07-25,"8","8.8",12,42,5,0.553437663966214,3221,0.139015968925334,0.761904761904762,32,0.9,0,0.851070229084165,NA,0,0
"55","Deer Creek Gate 2","control","2011",2011-07-25,"8","8.8",0,42,5,0.553437663966214,3221,0.139015968925334,0.761904761904762,32,0.9,0,0.851070229084165,NA,0,0
"56","Deer Creek Gate 2","control","2011",2011-07-25,"9","9.9",4,42,5,0.553437663966214,3221,0.139015968925334,0.761904761904762,32,0.9,0,0.851070229084165,NA,0,0
"57","Deer Creek Gate 2","control","2011",2011-07-25,"10","10.10",0,42,5,0.553437663966214,3221,0.139015968925334,0.761904761904762,32,0.9,0,0.851070229084165,NA,0,0
"58","Deer Creek Gate 2","control","2011",2011-07-25,"11","11.11",0,42,5,0.553437663966214,3221,0.139015968925334,0.761904761904762,32,0.9,0,0.851070229084165,NA,0,0
"59","Deer Creek Gate 2","control","2011",2011-07-25,"12","12.12",18,42,5,0.553437663966214,3221,0.139015968925334,0.761904761904762,32,0.9,0,0.851070229084165,NA,0,0
